forward to the competent authority -> phase application received (frequency = 361, performance = 1.00)
enter senddate decision environmental permit_57NFTYh_20140401 070004000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_57ZyIGN_20120817 200016000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_58CFbtf_20140818 070034000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_58QvAvq_20120718 184534000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_58RMjwy_20141024 070013000000 -> enter senddate procedure term extension (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_58TtUJO_20120612 180539000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_58vyZtu_20140701 070036000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_58zhDZj_20120723 181230000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_59CnvaX_20110513 070004000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_59ivVLs_20120607 070004000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_59xeviN_20141014 070059000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_60aNIOw_20140630 070039000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_60lMZNA_20120913 215635000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_60psqAc_20120622 164452000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_61eBPSp_20150305 080008000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_61gDYfT_20140723 070006000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_62UUuEt_20150127 080025000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_63FohXl_20140114 080014000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_64YFuMv_20131111 080008000000 -> enter senddate decision suspension (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_64bUbNH_20130422 160621000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_64wNszE_20140411 070025000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_65bywXZ_20130717 070023000000 -> forward to the competent authority (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_65dnjiu_20140703 070036000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_65fxBdl_20110906 070004000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_65gqwKV_20111229 080001000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_65tuxBm_20110621 070008000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_66IGbLi_20130625 070031000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_66QbsrL_20141017 070003000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_66ldVsa_20140224 080001000000 -> start decision phase decision permitting sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_66tzaNu_20130909 070001000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_66zaLSe_20140605 070009000000 -> start decision phase decision permitting sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_67ANRcr_20130513 070019000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_67OMIna_20110627 070002000000 -> enter date publication decision environmental permit (frequency = 1, performance = 172810.00)
enter senddate decision environmental permit_67QRIyg_20130701 070113000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_67WwBwg_20130701 070020000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_67ZgWuU_20120904 161818000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_67aJLiq_20141125 080003000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_67tpAnq_20130617 070103000000 -> register deadline (frequency = 1, performance = 3974342.00)
enter senddate decision environmental permit_68KCBFu_20140613 070026000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_68QnHAR_20110405 070005000000 -> enter date publication decision environmental permit (frequency = 1, performance = 691200.00)
enter senddate decision environmental permit_68WMweo_20150225 080026000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_68fKHip_20150210 080044000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_68pDazw_20121120 080001000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_69BbBSv_20141016 070007000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_69eISNJ_20140403 070021000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_69stOVA_20130530 070020000000 -> forward to the competent authority (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_70QlDlK_20120524 070006000000 -> register date environmental permit decision (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_70ckCiP_20140707 070037000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_70jmTPH_20141125 080018000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_70oTcia_20141014 070139000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_70xRHZM_20150115 080007000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_71FqYvn_20140722 070100000000 -> phase decision sent (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_71HkBgC_20140703 070054000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_72HrZyF_20150226 080004000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_72VRsTL_20141118 080035000000 -> generating decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_72kldoM_20130701 070006000000 -> record date of decision environmental permit (frequency = 1, performance = 1.00)
enter senddate decision environmental permit_72ukray_20140527 070031000000 -> phase decision sent (frequency = 1, performance = 1.00)
